0,chlChPhzTR38,left_1037572_1038571,left_1040141_1039144,right_1039138_1040137,right_1038572_1037573
0,chlChPhzTR39,left_1033740_1034739,left_1036309_1035312,right_1035306_1036305,right_1034740_1033741
0,chlPA23,left_907506_908505,left_910075_909078,right_909072_910071,right_908506_907507
0,chlChPhzS23,left_1005771_1006769,left_1008339_1007340,right_1007337_1008335,right_1006770_1005772
0,chlC50,left_1007276_1008275,left_1009845_1008848,right_1008842_1009841,right_1008276_1007277
0,chlChPhzTR44,left_1009522_1010521,left_1012091_1011092,right_1011089_1012087,right_1010522_1009523
0,chlDTR133,left_1018653_1019652,left_1021222_1020225,right_1020219_1021218,right_1019653_1018654
0,chlK27,left_1066906_1067905,left_1069475_1068476,right_1068472_1069471,right_1067906_1066907
0,chlChPhzTR18,left_1016485_1017484,left_1019054_1018057,right_1018051_1019050,right_1017485_1016486
0,chlLzh-T5,left_1002259_1003258,left_1004828_1003831,right_1003825_1004824,right_1003259_1002260
0,chlB25,left_1046352_1047351,left_1048921_1047922,right_1047919_1048917,right_1047352_1046353
0,chlPCL1391,left_1007446_1008445,left_1010015_1009018,right_1009012_1010011,right_1008446_1007447
0,chl21509,left_1041191_1042190,left_1043760_1042761,right_1042758_1043756,right_1042191_1041192
0,chl6698,left_1033147_1034146,left_1035716_1034719,right_1034713_1035712,right_1034147_1033148
0,chl66,left_1034168_1035167,left_1036737_1035738,right_1035735_1036733,right_1035168_1034169
0,chlPCL1607,left_1067639_1068638,left_1070208_1069211,right_1069205_1070204,right_1068639_1067640
0,chlChPhzS24,left_1028935_1029934,left_1031504_1030507,right_1030501_1031500,right_1029935_1028936
0,chlCW2,left_1017209_1018208,left_1019778_1018779,right_1018775_1019774,right_1018209_1017210
0,chl19603,left_1022595_1023594,left_1025164_1024165,right_1024161_1025160,right_1023595_1022596
0,chlSLPH10,left_1028742_1029741,left_1031311_1030312,right_1030309_1031307,right_1029742_1028743
0,chlChPhzS135,left_1031925_1032924,left_1034494_1033495,right_1033492_1034490,right_1032925_1031926
0,chl17809,left_1014457_1015456,left_1017026_1016027,right_1016024_1017022,right_1015457_1014458
0,chlJD37,left_5629919_5628920,left_5627350_5628349,right_5628353_5627354,right_5628919_5629918
0,chlChPhzS140,left_1030464_1031463,left_1033033_1032036,right_1032030_1033029,right_1031464_1030465
0,chlPb-St2,left_986850_987849,left_989419_988420,right_988417_989415,right_987850_986851
0,chlZJU60,left_1000331_1001330,left_1002900_1001901,right_1001898_1002896,right_1001331_1000332
0,chlChPhzTR36,left_1059080_1060079,left_1061649_1060652,right_1060646_1061645,right_1060080_1059081
0,chl17411,left_1014451_1015450,left_1017020_1016021,right_1016018_1017016,right_1015451_1014452
0,chlP2,left_1014439_1015438,left_1017008_1016011,right_1016005_1017004,right_1015439_1014440
0,chlStFRB508,left_835163_836162,left_837732_836733,right_836729_837728,right_836163_835164
